Site,Date,Time,Parameter,Value
CUS,7/18/2020,23:00,SO2,-0.34
CUS,1/14/2020,23:00,SO2,-0.34
CUS,1/26/2020,23:00,SO2,-0.34
CUS,1/16/2021,0:00,SO2,-0.34
CUS,4/9/2020,4:00,NO,-0.34
CUS,3/10/2020,23:00,SO2,-0.33
CUS,1/21/2020,21:00,SO2,-0.33
CUS,1/17/2020,1:00,SO2,-0.33
CUS,6/17/2020,3:00,SO2,-0.33
CUS,12/23/2020,22:00,SO2,-0.33
CUS,2/22/2020,5:00,SO2,-0.33
CUS,2/19/2020,4:00,SO2,-0.33
CUS,1/17/2020,3:00,SO2,-0.33
CUS,10/18/2020,23:00,SO2,-0.33
CUS,11/22/2020,23:00,SO2,-0.33
CUS,3/21/2020,1:00,SO2,-0.33
CUS,3/8/2020,4:00,SO2,-0.32
CUS,12/26/2020,4:00,SO2,-0.32
CUS,3/7/2020,2:00,SO2,-0.32
CUS,11/6/2020,1:00,SO2,-0.32
CUS,4/13/2020,5:00,NO,-0.32
CUS,2/6/2020,17:00,SO2,-0.32
CUS,3/6/2020,4:00,SO2,-0.32
CUS,4/1/2020,23:00,SO2,-0.32
CUS,4/28/2020,5:00,SO2,-0.32
CUS,3/24/2020,23:00,SO2,-0.32
CUS,1/17/2021,23:00,SO2,-0.32
CUS,7/19/2020,1:00,SO2,-0.31
CUS,11/11/2020,5:00,SO2,-0.31
CUS,2/5/2020,23:00,SO2,-0.31
CUS,1/19/2020,4:00,SO2,-0.31
CUS,6/5/2020,1:00,SO2,-0.31
CUS,11/9/2020,5:00,SO2,-0.31
CUS,1/16/2020,0:00,SO2,-0.31
CUS,8/9/2020,13:00,SO2,-0.31
CUS,2/2/2020,18:00,SO2,-0.31
CUS,1/30/2020,20:00,SO2,-0.31
CUS,5/9/2020,5:00,SO2,-0.31
CUS,1/6/2020,4:00,SO2,-0.31
CUS,5/3/2020,4:00,NO,-0.30
CUS,2/9/2020,23:00,SO2,-0.30
CUS,2/1/2020,12:00,SO2,-0.30
CUS,2/14/2020,23:00,SO2,-0.30
CUS,11/11/2020,18:00,SO2,-0.30
CUS,4/12/2020,1:00,NO,-0.29
CUS,6/15/2020,1:00,SO2,-0.29
CUS,1/10/2020,20:00,SO2,-0.29
CUS,5/3/2020,3:00,NO,-0.29
CUS,2/28/2020,21:00,SO2,-0.29
CUS,2/20/2020,4:00,SO2,-0.29
CUS,1/4/2020,19:00,SO2,-0.29
CUS,10/29/2020,14:00,SO2,-0.29
CUS,3/1/2020,4:00,SO2,-0.29
CUS,12/5/2020,23:00,SO2,-0.29
CUS,3/1/2020,21:00,SO2,-0.29
CUS,1/10/2020,23:00,SO2,-0.29
CUS,1/3/2020,7:00,SO2,-0.29
CUS,9/7/2020,1:00,SO2,-0.28
CUS,2/29/2020,16:00,SO2,-0.28
CUS,5/3/2020,3:00,NO2,-0.28
CUS,4/11/2020,5:00,SO2,-0.28
CUS,2/20/2020,2:00,SO2,-0.28
CUS,11/12/2020,4:00,SO2,-0.28
CUS,1/21/2021,23:00,SO2,-0.28
CUS,3/3/2020,11:00,SO2,-0.28
CUS,2/27/2021,1:00,SO2,-0.28
CUS,3/6/2020,2:00,SO2,-0.28
CUS,1/4/2020,8:00,SO2,-0.28
CUS,12/3/2020,1:00,SO2,-0.28
CUS,3/3/2020,4:00,SO2,-0.28
CUS,4/10/2020,15:00,SO2,-0.28
CUS,2/22/2021,2:00,SO2,-0.28
CUS,1/27/2020,23:00,SO2,-0.28
CUS,2/16/2020,17:00,SO2,-0.28
CUS,2/12/2020,18:00,SO2,-0.27
CUS,3/8/2020,1:00,SO2,-0.27
CUS,3/1/2020,19:00,SO2,-0.27
CUS,2/9/2020,12:00,SO2,-0.27
CUS,3/26/2020,4:00,SO2,-0.27
CUS,1/28/2021,0:00,SO2,-0.27
CUS,11/19/2020,23:00,SO2,-0.27
CUS,1/21/2020,20:00,SO2,-0.27
CUS,11/20/2020,3:00,SO2,-0.27
